Watching for file changes with StatReloader
Not Found: /api/projects/list
[02/Aug/2025 14:49:16] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:49:16] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:16] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:16] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:16] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:16] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:16] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:22] "OPTIONS /api/v1/projects/?lang=ja HTTP/1.1" 200 0
[02/Aug/2025 14:49:22] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:22] "GET /api/v1/projects/?lang=ja HTTP/1.1" 200 23525
[02/Aug/2025 14:49:22] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:22] "GET /api/v1/files/tree/testProject/ HTTP/1.1" 200 643
[02/Aug/2025 14:49:22] "GET /api/v1/projects/ HTTP/1.1" 200 23525
[02/Aug/2025 14:49:22] "GET /api/v1/projects/ HTTP/1.1" 200 23525
